,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Marble Hill,40.87655077879964,-73.91065965862981,Bikram Yoga,40.876843690797934,-73.90620384419528,Yoga Studio
1,Marble Hill,40.87655077879964,-73.91065965862981,Sam's Pizza,40.87943501792795,-73.90585879861192,Pizza Place
2,Marble Hill,40.87655077879964,-73.91065965862981,Tibbett Diner,40.8804044222466,-73.90893738006402,Diner
3,Marble Hill,40.87655077879964,-73.91065965862981,Arturo's,40.87441177110231,-73.91027100981574,Pizza Place
4,Marble Hill,40.87655077879964,-73.91065965862981,Starbucks,40.87753134921497,-73.90558216359267,Coffee Shop
5,Marble Hill,40.87655077879964,-73.91065965862981,Estrellita Poblana V,40.879687039717524,-73.906256832975,Mexican Restaurant
6,Marble Hill,40.87655077879964,-73.91065965862981,Dunkin',40.87713584201589,-73.90666550701411,Donut Shop
7,Marble Hill,40.87655077879964,-73.91065965862981,Baker Athletic Complex,40.87206097197959,-73.91487585478518,Athletics & Sports
8,Marble Hill,40.87655077879964,-73.91065965862981,ALDI,40.8778363,-73.9046557,Supermarket
9,Marble Hill,40.87655077879964,-73.91065965862981,Astral Fitness & Wellness Center,40.87670526507199,-73.90637207670373,Gym
10,Marble Hill,40.87655077879964,-73.91065965862981,El Malecon,40.87933806746814,-73.90445707056641,Caribbean Restaurant
11,Marble Hill,40.87655077879964,-73.91065965862981,Indian Road Café,40.87292174447656,-73.91845881138549,Café
12,Marble Hill,40.87655077879964,-73.91065965862981,Garden Gourmet Market,40.88135023917183,-73.90338943716417,Gourmet Shop
13,Marble Hill,40.87655077879964,-73.91065965862981,The Bronx Public,40.87837659295958,-73.90348117090952,Pub
14,Marble Hill,40.87655077879964,-73.91065965862981,T.J. Maxx,40.87723198343352,-73.90504239962168,Department Store
15,Marble Hill,40.87655077879964,-73.91065965862981,Loeser's Delicatessen,40.879111,-73.905693,Sandwich Place
16,Marble Hill,40.87655077879964,-73.91065965862981,Inwood Hill Park Peninsula,40.873752744342916,-73.91997968655967,Scenic Lookout
